study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days
NCT100083,Aspirin,Hypertension,Novartis,2022-06-10,,Phase 1,Withdrawn,0.875,
NCT100084,Aspirin,Diabetes,Novartis,2021-07-18,2024-11-16,Phase 4,Completed,1.0,1217.0
NCT100085,Salbutamol,Hypertension,Sanofi,2021-08-19,2024-10-16,,Terminated,0.875,1154.0
NCT100086,Donepezil,Diabetes,Astrazeneca,2022-08-04,2025-03-08,Phase 3,Terminated,1.0,947.0
NCT100087,Trastuzumab,Hypertension,Pfizer,2023-05-24,2024-11-30,Phase 1,Terminated,1.0,556.0
NCT100088,Salbutamol,Hypertension,Novartis,2021-07-21,2025-06-08,Phase 4,Terminated,1.0,1418.0
NCT100089,Aspirin,Alzheimer'S Disease,Sanofi,2022-05-01,2025-01-13,Phase 1,Withdrawn,1.0,988.0
NCT100090,Metformin,Asthma,Astrazeneca,2023-06-24,2024-10-13,Phase 1,Terminated,1.0,477.0
NCT100091,Donepezil,Covid-19,Sanofi,2023-10-15,2025-05-28,Phase 4,Terminated,1.0,591.0
NCT100092,Aspirin,Breast Cancer,Pfizer,2023-04-30,2025-05-27,Phase 4,Recruiting,1.0,758.0
NCT100093,Metformin,Covid-19,Novartis,2020-12-29,2025-02-04,Phase 2,Terminated,1.0,1498.0
NCT100094,Donepezil,Asthma,Novartis,2024-03-18,2024-12-16,Phase 1,Withdrawn,1.0,273.0
NCT100095,Trastuzumab,Covid-19,Sanofi,2021-08-02,2024-10-21,Phase 4,Recruiting,1.0,1176.0
NCT100096,Metformin,Diabetes,Astrazeneca,2023-11-05,2025-06-19,Phase 1,Completed,1.0,592.0
NCT100097,,Covid-19,Gsk,2023-10-02,2025-03-30,Phase 4,Completed,0.875,545.0
NCT100098,Remdesivir,Asthma,Novartis,2022-01-17,2024-11-21,Phase 3,Completed,1.0,1039.0
NCT100099,Donepezil,Diabetes,Novartis,2024-07-21,2024-10-20,Phase 4,Terminated,1.0,91.0
NCT100100,Remdesivir,Alzheimer'S Disease,Moderna,2021-11-26,2024-11-02,Phase 3,Recruiting,1.0,1072.0
NCT100101,Donepezil,Covid-19,Sanofi,2023-08-09,2024-08-30,,Completed,0.875,387.0
NCT100102,Aspirin,Diabetes,Pfizer,2020-09-23,2025-05-21,Phase 2,Recruiting,1.0,1701.0
NCT100103,Metformin,Diabetes,Astrazeneca,2023-12-06,2025-05-30,Phase 3,Withdrawn,1.0,541.0
NCT100104,Trastuzumab,Hypertension,Gsk,2024-07-09,,Phase 2,Withdrawn,0.875,
NCT100105,Metformin,Breast Cancer,Pfizer,2021-01-31,2024-09-05,Phase 3,Completed,1.0,1313.0
NCT100106,Aspirin,Alzheimer'S Disease,Pfizer,2021-12-21,2025-03-09,Phase 3,Terminated,1.0,1174.0
NCT100107,Remdesivir,Breast Cancer,Moderna,2020-10-18,2025-05-12,Phase 2,Withdrawn,1.0,1667.0
NCT100108,Salbutamol,Breast Cancer,Pfizer,2022-10-18,,Phase 2,Completed,0.875,
NCT100109,Metformin,Covid-19,Pfizer,2023-01-27,2024-12-16,Phase 1,Recruiting,1.0,689.0
NCT100110,Donepezil,Breast Cancer,Astrazeneca,2024-05-02,2024-12-08,Phase 1,Recruiting,1.0,220.0
NCT100111,Aspirin,Alzheimer'S Disease,Gsk,2024-04-25,2025-03-17,,Terminated,0.875,326.0
NCT100112,,Alzheimer'S Disease,Novartis,2021-08-09,2024-12-19,Phase 2,Withdrawn,0.875,1228.0
NCT100113,,Hypertension,Pfizer,2024-04-25,,Phase 4,Completed,0.75,
NCT100114,Metformin,Covid-19,Moderna,2023-03-04,2025-01-21,,Withdrawn,0.875,689.0
NCT100115,Salbutamol,Diabetes,Sanofi,2021-05-16,2025-02-07,Phase 2,Terminated,1.0,1363.0
NCT100116,Aspirin,Covid-19,Sanofi,2022-09-13,2024-08-07,Phase 2,Terminated,1.0,694.0
NCT100117,Salbutamol,Asthma,Astrazeneca,2023-11-14,2024-11-24,Phase 1,Withdrawn,1.0,376.0
NCT100118,Salbutamol,Covid-19,Gsk,2024-05-12,2025-01-26,Phase 3,Recruiting,1.0,259.0
NCT100119,Metformin,Diabetes,Sanofi,2022-08-02,2025-02-08,Phase 1,Terminated,1.0,921.0
NCT100120,Salbutamol,Alzheimer'S Disease,Pfizer,2021-11-22,2025-06-13,,Recruiting,0.875,1299.0
NCT100121,Metformin,Covid-19,Moderna,2024-07-28,2024-12-24,Phase 3,Terminated,1.0,149.0
NCT100122,Remdesivir,Diabetes,Novartis,2023-03-09,2025-05-13,Phase 2,Terminated,1.0,796.0
NCT100123,Metformin,Diabetes,Sanofi,2024-05-02,,Phase 4,Recruiting,0.875,
NCT100124,,Asthma,Moderna,2023-08-18,2025-07-26,Phase 3,Recruiting,0.875,708.0
NCT100125,Aspirin,Asthma,Pfizer,2024-07-28,2025-02-05,Phase 3,Terminated,1.0,192.0
NCT100126,Metformin,Breast Cancer,Sanofi,2020-11-05,,,Terminated,0.75,
NCT100127,Remdesivir,Covid-19,Sanofi,2024-06-10,2025-02-07,,Terminated,0.875,242.0
NCT100128,Donepezil,Hypertension,Novartis,2022-12-11,,Phase 1,Completed,0.875,
NCT100129,Remdesivir,Asthma,Sanofi,2021-09-22,,Phase 3,Withdrawn,0.875,
NCT100130,Aspirin,Asthma,Sanofi,2020-10-29,2025-04-29,Phase 4,Recruiting,1.0,1643.0
NCT100131,Donepezil,Hypertension,Gsk,2023-03-05,2024-09-26,Phase 2,Withdrawn,1.0,571.0
NCT100132,,Diabetes,Astrazeneca,2021-09-29,,Phase 3,Completed,0.75,
NCT100133,Metformin,Diabetes,Novartis,2020-12-05,2025-03-18,,Terminated,0.875,1564.0
NCT100134,Salbutamol,Covid-19,Moderna,2023-11-06,,,Completed,0.75,
NCT100135,Donepezil,Breast Cancer,Pfizer,2023-12-19,2024-08-10,Phase 3,Withdrawn,1.0,235.0
NCT100136,Donepezil,Hypertension,Moderna,2023-07-01,,Phase 1,Completed,0.875,
NCT100137,Remdesivir,Diabetes,Novartis,2022-09-23,2024-10-23,,Recruiting,0.875,761.0
NCT100138,Trastuzumab,Hypertension,Novartis,2020-11-21,2025-05-19,Phase 4,Withdrawn,1.0,1640.0
NCT100139,Metformin,Breast Cancer,Novartis,2021-12-27,2025-04-02,Phase 2,Completed,1.0,1192.0
NCT100140,Metformin,Covid-19,Moderna,2024-03-13,,Phase 2,Recruiting,0.875,
NCT100141,Aspirin,Diabetes,Gsk,2023-04-16,2025-04-13,,Recruiting,0.875,728.0
NCT100142,Remdesivir,Breast Cancer,Pfizer,2024-05-10,2025-03-27,,Completed,0.875,321.0
NCT100143,Metformin,Alzheimer'S Disease,Sanofi,2023-02-20,2024-11-18,,Terminated,0.875,637.0
NCT100144,Salbutamol,Asthma,Sanofi,2022-10-11,2024-09-25,Phase 4,Completed,1.0,715.0
NCT100145,Donepezil,Alzheimer'S Disease,Moderna,2024-05-21,2024-09-03,,Recruiting,0.875,105.0
NCT100146,Aspirin,Diabetes,Astrazeneca,2023-11-22,2025-01-20,Phase 2,Recruiting,1.0,425.0
NCT100147,Salbutamol,Alzheimer'S Disease,Moderna,2023-07-12,2025-07-15,Phase 2,Terminated,1.0,734.0
NCT100148,Remdesivir,Alzheimer'S Disease,Gsk,2022-12-18,2024-12-30,Phase 4,Completed,1.0,743.0
NCT100149,Trastuzumab,Breast Cancer,Novartis,2021-01-06,2024-10-04,Phase 3,Recruiting,1.0,1367.0
NCT100150,,Asthma,Astrazeneca,2022-10-20,2025-04-02,Phase 2,Terminated,0.875,895.0
NCT100151,Metformin,Breast Cancer,Astrazeneca,2020-12-11,2025-01-15,,Terminated,0.875,1496.0
NCT100152,Donepezil,Covid-19,Gsk,2022-11-15,2025-02-20,Phase 4,Withdrawn,1.0,828.0
NCT100153,Trastuzumab,Covid-19,Moderna,2022-03-17,2025-02-03,,Recruiting,0.875,1054.0
NCT100154,Remdesivir,Covid-19,Pfizer,2021-12-19,,,Withdrawn,0.75,
NCT100155,Metformin,Breast Cancer,Astrazeneca,2023-02-06,2024-12-03,Phase 1,Withdrawn,1.0,666.0
NCT100156,Aspirin,Covid-19,Sanofi,2024-06-25,2025-04-15,Phase 3,Terminated,1.0,294.0
NCT100157,,Asthma,Sanofi,2021-02-26,2024-11-25,Phase 2,Completed,0.875,1368.0
NCT100158,Donepezil,Diabetes,Novartis,2023-07-04,2025-05-16,Phase 2,Withdrawn,1.0,682.0
NCT100159,Aspirin,Diabetes,Moderna,2020-08-28,2024-09-10,Phase 3,Completed,1.0,1474.0
NCT100160,Aspirin,Covid-19,Pfizer,2023-10-12,,,Recruiting,0.75,
NCT100161,,Hypertension,Pfizer,2023-12-01,2024-10-09,,Recruiting,0.75,313.0
NCT100162,Trastuzumab,Diabetes,Moderna,2023-02-02,2024-09-06,Phase 1,Recruiting,1.0,582.0
NCT100163,Salbutamol,Alzheimer'S Disease,Astrazeneca,2022-02-25,,Phase 3,Recruiting,0.875,
NCT100164,Donepezil,Alzheimer'S Disease,Pfizer,2022-09-26,2024-11-01,Phase 2,Withdrawn,1.0,767.0
NCT100165,Metformin,Breast Cancer,Gsk,2020-08-14,2025-06-26,Phase 4,Completed,1.0,1777.0
NCT100166,Donepezil,Alzheimer'S Disease,Gsk,2020-12-08,2025-02-17,Phase 3,Completed,1.0,1532.0
NCT100167,Salbutamol,Hypertension,Astrazeneca,2021-07-23,2024-08-10,Phase 1,Recruiting,1.0,1114.0
NCT100168,Donepezil,Breast Cancer,Novartis,2022-06-06,2024-10-18,Phase 3,Terminated,1.0,865.0
NCT100169,Metformin,Diabetes,Pfizer,2024-03-30,2024-10-17,Phase 4,Withdrawn,1.0,201.0
NCT100170,Remdesivir,Asthma,Astrazeneca,2020-11-07,,Phase 2,Completed,0.875,
NCT100171,Remdesivir,Diabetes,Novartis,2021-04-17,,Phase 3,Completed,0.875,
NCT100172,Aspirin,Covid-19,Gsk,2021-07-16,2025-03-24,Phase 4,Completed,1.0,1347.0
NCT100173,Metformin,Asthma,Pfizer,2020-09-30,2025-05-26,Phase 2,Withdrawn,1.0,1699.0
NCT100174,Remdesivir,Asthma,Astrazeneca,2022-06-15,2024-08-06,,Terminated,0.875,783.0
NCT100175,Aspirin,Asthma,Astrazeneca,2022-03-05,2025-07-14,Phase 4,Withdrawn,1.0,1227.0
NCT100176,Trastuzumab,Asthma,Gsk,2021-11-09,2025-07-07,Phase 4,Completed,1.0,1336.0
NCT100177,Donepezil,Covid-19,Pfizer,2021-01-23,2024-09-11,Phase 4,Withdrawn,1.0,1327.0
NCT100178,Trastuzumab,Covid-19,Pfizer,2020-11-26,2024-10-11,Phase 4,Terminated,1.0,1415.0
NCT100179,Remdesivir,Alzheimer'S Disease,Moderna,2021-07-20,2025-06-26,Phase 4,Withdrawn,1.0,1437.0
NCT100180,Donepezil,,Astrazeneca,2023-11-04,2025-06-22,Phase 3,Recruiting,0.875,596.0
NCT100181,Remdesivir,Breast Cancer,Astrazeneca,2022-11-06,,,Recruiting,0.75,
NCT100182,Aspirin,Alzheimer'S Disease,Sanofi,2021-04-14,2025-02-24,Phase 2,Completed,1.0,1412.0
NCT100183,Metformin,Hypertension,Novartis,2022-05-16,,,Completed,0.75,
NCT100184,Aspirin,Diabetes,Pfizer,2023-05-15,2025-02-24,Phase 3,Terminated,1.0,651.0
NCT100185,Salbutamol,Breast Cancer,Novartis,2022-01-15,2025-01-23,Phase 4,Terminated,1.0,1104.0
NCT100186,Remdesivir,Covid-19,Astrazeneca,2022-11-21,2024-10-09,Phase 3,Withdrawn,1.0,688.0
NCT100187,Metformin,Alzheimer'S Disease,Pfizer,2020-11-25,2025-06-17,Phase 3,Completed,1.0,1665.0
NCT100188,Salbutamol,Diabetes,Sanofi,2021-12-02,,,Recruiting,0.75,
NCT100189,Aspirin,Hypertension,Astrazeneca,2023-11-20,2024-08-11,,Completed,0.875,265.0
NCT100190,Salbutamol,Hypertension,Pfizer,2021-09-12,,Phase 1,Terminated,0.875,
NCT100191,Salbutamol,Asthma,Pfizer,2021-04-27,2025-06-18,Phase 3,Completed,1.0,1513.0
NCT100192,Aspirin,Asthma,Astrazeneca,2024-08-01,2025-05-13,Phase 4,Completed,1.0,285.0
NCT100193,Trastuzumab,Hypertension,Pfizer,2024-07-28,,Phase 2,Withdrawn,0.875,
NCT100194,Metformin,Breast Cancer,Astrazeneca,2023-02-02,2024-12-29,Phase 1,Recruiting,1.0,696.0
NCT100195,Remdesivir,Diabetes,Astrazeneca,2021-01-09,2025-04-14,Phase 1,Terminated,1.0,1556.0
NCT100196,Remdesivir,Asthma,Gsk,2023-12-10,2024-10-02,,Terminated,0.875,297.0
NCT100197,Donepezil,Asthma,Moderna,2021-05-04,2024-11-22,,Withdrawn,0.875,1298.0
NCT100198,Trastuzumab,Alzheimer'S Disease,Moderna,2023-01-06,2025-01-25,Phase 2,Recruiting,1.0,750.0
NCT100199,Trastuzumab,Asthma,Gsk,2023-11-12,2024-08-31,Phase 4,Recruiting,1.0,293.0
NCT100200,Salbutamol,Diabetes,Astrazeneca,2021-09-06,2025-03-05,Phase 4,Recruiting,1.0,1276.0
NCT100201,Salbutamol,Hypertension,Novartis,2021-02-17,2025-04-03,,Withdrawn,0.875,1506.0
NCT100202,Salbutamol,Hypertension,Gsk,2020-12-10,,Phase 2,Completed,0.875,
NCT100203,Trastuzumab,Hypertension,Pfizer,2020-08-23,2024-12-19,,Completed,0.875,1579.0
NCT100204,Aspirin,Breast Cancer,Moderna,2022-05-13,2024-09-18,Phase 2,Terminated,1.0,859.0
NCT100205,Remdesivir,Asthma,Novartis,2023-12-07,2024-09-26,Phase 1,Withdrawn,1.0,294.0
NCT100206,Aspirin,Hypertension,Gsk,2020-11-20,2025-03-16,Phase 4,Terminated,1.0,1577.0
NCT100207,Trastuzumab,Hypertension,Novartis,2021-08-03,2025-02-12,,Completed,0.875,1289.0
NCT100208,Metformin,Covid-19,Sanofi,2020-12-26,2025-05-19,Phase 1,Recruiting,1.0,1605.0
NCT100209,Aspirin,Diabetes,Astrazeneca,2021-04-18,2025-05-28,Phase 4,Recruiting,1.0,1501.0
NCT100210,Remdesivir,Breast Cancer,Pfizer,2020-08-28,2024-09-15,Phase 4,Completed,1.0,1479.0
NCT100211,Metformin,Asthma,Pfizer,2020-10-21,,Phase 1,Terminated,0.875,
NCT100212,Donepezil,Covid-19,Gsk,2021-10-04,2025-02-04,Phase 4,Recruiting,1.0,1219.0
NCT100213,Donepezil,Hypertension,Moderna,2022-04-21,2025-05-16,,Recruiting,0.875,1121.0
NCT100214,Donepezil,Diabetes,Pfizer,2022-12-11,2025-07-27,Phase 4,Completed,1.0,959.0
NCT100215,Metformin,Covid-19,Pfizer,2023-06-11,,Phase 1,Recruiting,0.875,
NCT100216,Metformin,Covid-19,Moderna,2024-06-17,,Phase 1,Completed,0.875,
NCT100217,Aspirin,Alzheimer'S Disease,Sanofi,2021-03-14,2024-10-25,Phase 4,Terminated,1.0,1321.0
NCT100218,Metformin,Diabetes,Pfizer,2022-10-29,,Phase 3,Completed,0.875,
NCT100219,Salbutamol,Breast Cancer,Pfizer,2022-05-15,2025-01-22,,Withdrawn,0.875,983.0
NCT100220,Remdesivir,Alzheimer'S Disease,Novartis,2021-05-18,2025-05-25,Phase 3,Terminated,1.0,1468.0
NCT100221,Remdesivir,Hypertension,Novartis,2022-09-19,2025-07-01,,Terminated,0.875,1016.0
NCT100222,Metformin,Hypertension,Gsk,2022-04-13,2025-04-08,Phase 3,Completed,1.0,1091.0
NCT100223,Aspirin,Alzheimer'S Disease,Pfizer,2023-05-03,2024-11-07,Phase 2,Recruiting,1.0,554.0
NCT100224,,Breast Cancer,Pfizer,2024-03-05,2025-07-03,,Completed,0.75,485.0
NCT100225,Trastuzumab,Asthma,Novartis,2024-01-09,,Phase 3,Withdrawn,0.875,
NCT100226,Trastuzumab,Alzheimer'S Disease,Pfizer,2023-07-08,2024-11-04,,Withdrawn,0.875,485.0
NCT100227,Aspirin,,Novartis,2022-05-21,2025-02-08,Phase 4,Recruiting,0.875,994.0
NCT100228,Remdesivir,Diabetes,Gsk,2020-08-23,,Phase 4,Completed,0.875,
NCT100229,Donepezil,Asthma,Pfizer,2020-10-18,2025-06-29,Phase 4,Withdrawn,1.0,1715.0
NCT100230,Aspirin,Alzheimer'S Disease,Sanofi,2022-06-18,2024-12-17,Phase 1,Completed,1.0,913.0
NCT100231,Remdesivir,Breast Cancer,Sanofi,2021-05-07,2025-02-25,Phase 4,Terminated,1.0,1390.0
NCT100232,Metformin,Breast Cancer,Gsk,2020-10-29,,,Completed,0.75,
NCT100233,Salbutamol,Alzheimer'S Disease,Pfizer,2024-07-09,2025-06-09,Phase 4,Terminated,1.0,335.0
NCT100234,Trastuzumab,Breast Cancer,Moderna,2021-10-07,2025-02-10,Phase 2,Completed,1.0,1222.0
NCT100235,Donepezil,Asthma,Pfizer,2023-01-19,2024-08-31,Phase 3,Withdrawn,1.0,590.0
NCT100236,Metformin,Diabetes,Moderna,2023-11-05,2025-01-07,Phase 3,Terminated,1.0,429.0
NCT100237,,Diabetes,Novartis,2021-05-22,,Phase 4,Completed,0.75,
NCT100238,Aspirin,Diabetes,Novartis,2024-07-30,2025-04-24,Phase 4,Recruiting,1.0,268.0
NCT100239,Remdesivir,Covid-19,Gsk,2023-05-20,2025-04-23,Phase 3,Withdrawn,1.0,704.0
NCT100240,Aspirin,Hypertension,Novartis,2022-05-06,2025-02-25,,Terminated,0.875,1026.0
NCT100241,Trastuzumab,Hypertension,Pfizer,2024-01-29,2025-05-10,Phase 2,Withdrawn,1.0,467.0
NCT100242,Salbutamol,Breast Cancer,Sanofi,2020-12-03,2025-05-01,,Terminated,0.875,1610.0
NCT100243,Donepezil,Diabetes,Novartis,2023-12-31,2025-05-30,,Recruiting,0.875,516.0
NCT100244,Salbutamol,Breast Cancer,Sanofi,2023-01-25,2024-12-17,,Recruiting,0.875,692.0
NCT100245,Remdesivir,Covid-19,Sanofi,2021-04-07,2025-03-24,Phase 3,Withdrawn,1.0,1447.0
NCT100246,Donepezil,Asthma,Pfizer,2022-12-25,,Phase 2,Completed,0.875,
